Sigle;Ponderation;Nb_credits;Faculte;Departement;Labo ;Terrain ;Redaction
BCM104;12;1;Sciences;biologie;0;0;1
BCM111;NA;2;Sciences;Biologie;1;0;1
BCM113;NA;1;Sciences;Biologie;1;0;1
BCM318;NA;4;Sciences;Biologie;0;0;1
BIO109;NA;1;Sciences;Biologie;0;0;1
BIO500;75;2;Sciences;Biologie;0;0;1
BOT400;65;1;Sciences;Biologie;0;0;1
ECL 403;30;1;Sciences;Biologie;0;1;1
ECL406;50;1;Sciences;Biologie;0;0;1
ECL515;75;2;Sciences;Biologie;0;1;0
ECL516;20;3;Sciences;Biologie;0;0;1
ECL522;30;3;Sciences;Biologie;0;0;1
ECL527;25;2;Sciences;Biologie;0;1;1
ECL535;60;1;Sciences;Biologie;1;1;1
ECL604;55;1;Sciences;Biologie;0;0;1
ECL616;45;3;Sciences;Biologie;0;0;1
ENT102 ;15;2;Sciences;Biologie;0;1;1
GDD350;15;3;CUFE;NA;0;0;1
GMQ106;25;3;Lettres_et_sciences_humaines;Geomatique;0;0;1
MCB101;NA;1;Sciences;Biologie;1;0;0
TSB303;10;2;Sciences;Biologie;0;0;1
ZOO105;NA;1;Sciences;Biologie;1;0;0
ZOO306;NA;1;Sciences;Biologie;0;0;1
ZOO307;NA;1;Sciences;Biologie;1;0;0
